"No.","Time","Source","Destination","Protocol","Length","Info"
"36","235.464238","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"37","239.841528","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"39","244.367875","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"41","248.773902","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"43","253.305034","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"44","257.811927","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"45","262.270008","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"47","266.647872","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"48","271.437317","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"50","275.718043","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"51","280.386875","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"53","284.912542","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"54","289.829121","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"56","294.512152","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"58","299.497459","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"60","304.036745","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"61","308.876935","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"63","313.530171","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"64","317.863293","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"65","322.556958","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"71","327.264588","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"72","331.933784","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"77","336.327928","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"78","341.302147","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"81","345.958530","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"83","350.312057","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"86","354.918656","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"87","358.685933","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"88","359.239272","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"90","363.010149","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"91","363.865524","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"93","367.632409","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"94","368.690312","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"95","372.581288","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"97","373.326170","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"99","377.115360","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"100","378.032116","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"101","381.979789","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"103","382.611769","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"105","386.555466","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"106","387.552112","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"107","391.418312","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"108","392.022435","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"112","396.175169","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"113","396.442289","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"115","400.543470","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"116","401.012824","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"119","405.326595","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"120","405.593634","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"121","410.316566","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"122","410.464443","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"125","415.039936","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"126","415.156892","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"127","419.458295","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"128","419.921703","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"130","424.372035","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"131","424.618646","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"133","428.691601","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"134","429.137353","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"136","433.099289","172.16.12.2","224.0.0.10","EIGRP","74","Hello"
"137","433.998283","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"138","434.006903","172.16.12.2","224.0.0.10","EIGRP","124","Hello"
"140","434.015434","172.16.12.1","224.0.0.10","EIGRP","124","Hello"
"142","434.024122","172.16.12.1","172.16.12.2","EIGRP","94","Update"
"144","436.017254","172.16.12.2","172.16.12.1","EIGRP","94","Update"
"145","436.025790","172.16.12.1","224.0.0.10","EIGRP","139","Update"
"146","436.034104","172.16.12.1","172.16.12.2","EIGRP","60","Hello (Ack)"
"147","436.042652","172.16.12.2","224.0.0.10","EIGRP","139","Update"
"148","436.043084","172.16.12.1","172.16.12.2","EIGRP","60","Hello (Ack)"
"149","436.051573","172.16.12.2","224.0.0.10","EIGRP","139","Update"
"150","436.060072","172.16.12.1","172.16.12.2","EIGRP","60","Hello (Ack)"
"151","441.028994","172.16.12.1","224.0.0.10","EIGRP","124","Hello"
