"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"2","1.619846","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"3","2.186480","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"4","2.780708","fe80::c601:3aff:fe44:0","ff02::1","ICMPv6","86","Router Advertisement from c4:01:3a:44:00:00"
"5","3.955231","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"6","4.712731","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"7","5.983466","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"8","6.666735","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"9","9.587181","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"10","10.964115","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"11","11.593998","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"12","13.973642","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"13","14.388420","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"14","15.414874","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"15","16.299135","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"16","19.280034","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"17","19.697247","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"18","20.725716","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"19","23.862670","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"20","23.982933","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"21","24.517615","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"22","25.242668","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"23","28.120351","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"24","29.256951","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"25","29.578488","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"26","32.552056","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"27","33.586357","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"28","33.976468","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"29","34.282422","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"30","36.963081","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"31","38.442792","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"32","39.227354","c4:00:3a:44:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","370","Device ID: R1  Port ID: FastEthernet0/0  "
"33","39.267377","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"34","41.582079","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"35","43.033647","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"36","43.854015","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"37","43.965921","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
