"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"2","0.690907","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"3","0.696988","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"4","0.903713","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"5","4.442111","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"6","5.027150","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"7","5.476950","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"8","9.140293","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"9","9.660974","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"10","10.016538","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"11","10.906511","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"12","13.525930","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"13","14.484457","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"14","14.696690","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"15","18.138631","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"16","19.048190","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"17","19.397660","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"18","20.916802","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"19","22.532970","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"20","23.907575","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"21","24.327325","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"22","25.704418","fe80::c602:3aff:fe44:0","ff02::1","ICMPv6","86","Router Advertisement from c4:02:3a:44:00:00"
"23","26.417439","c4:00:3a:44:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","370","Device ID: R1  Port ID: FastEthernet0/0  "
"24","27.166250","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"25","28.283408","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"26","28.979245","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"27","30.917601","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"28","31.441592","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"29","32.519250","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"30","33.413200","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"31","34.110170","c4:02:3a:44:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","370","Device ID: R3  Port ID: FastEthernet0/0  "
"32","36.187537","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"33","37.148616","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"34","38.078020","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"35","40.538809","c4:01:3a:44:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","370","Device ID: R2  Port ID: FastEthernet0/0  "
"36","40.914018","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"37","41.118206","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"38","41.671780","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"39","43.012083","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"40","45.513407","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"41","46.476228","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"42","47.572536","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"43","50.320307","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"44","50.921568","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"45","51.251662","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"46","52.343908","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"47","54.784655","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"48","56.122279","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"49","57.186656","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"50","59.359149","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"51","60.917042","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"52","61.007558","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"53","61.660665","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"54","64.255351","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"55","65.776922","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"56","66.394046","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"57","68.794273","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"58","70.499219","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"59","70.942739","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"60","70.953106","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"61","73.769625","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"62","75.147426","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"63","75.728719","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"64","78.176640","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"65","79.672612","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"66","80.602876","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"67","80.948873","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"68","82.853847","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"69","84.098437","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"70","85.195393","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"71","86.424916","c4:00:3a:44:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","370","Device ID: R1  Port ID: FastEthernet0/0  "
"72","87.177502","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"73","88.873486","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"74","89.783584","c4:00:3a:44:00:00","DEC-MOP-Remote-Console","0x6002","77","DEC DNA Remote Console"
"75","89.804863","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"76","90.937514","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"77","91.832818","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"78","93.860691","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"79","94.106686","c4:02:3a:44:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","370","Device ID: R3  Port ID: FastEthernet0/0  "
"80","94.822371","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"81","96.326377","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"82","98.273996","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"83","99.526191","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"84","100.573439","c4:01:3a:44:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","370","Device ID: R2  Port ID: FastEthernet0/0  "
"85","100.753501","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"86","100.924899","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"87","103.202535","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"88","103.851292","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
